Title,Author,Genre,Subject,Summary
Maker Lab: 28 Super Cool Projects,DK,Children's Activity Book,"STEM, Making, Experiments",Twenty-eight step-by-step build-and-experiment projects using everyday materials.
Making Math Meaningful: 6th Grade Workbook Teacher's Edition,Jamie York,Teaching Guide / Waldorf Curriculum,"Mathematics, Grade 6, Waldorf",Teacher's edition of the sixth-grade workbook in Jamie York's Waldorf-inspired math series.
Making Math Meaningful: 7th Grade Workbook Teacher's Edition,Jamie York,Teaching Guide / Waldorf Curriculum,"Mathematics, Grade 7, Waldorf",Teacher's edition of the seventh-grade workbook in the Making Math Meaningful series.
Making Math Meaningful: 8th Grade Workbook Teacher's Edition,Jamie York,Teaching Guide / Waldorf Curriculum,"Mathematics, Grade 8, Waldorf",Teacher's edition of the eighth-grade workbook in the Making Math Meaningful series.
Making Math Meaningful: Elementary School Source Book (Grades One through Five),Jamie York,Teaching Guide / Waldorf Curriculum,"Mathematics, Elementary, Waldorf",A grade-by-grade source book for teaching elementary math in the Waldorf sequence.
"Making Math Meaningful: Fun with Puzzles, Games and More!","Randy Evans, Mick Follari & Jamie York",Teaching Guide / Curriculum,"Math Puzzles, Games, Grades 4-12","A classroom resource of puzzles with full solutions, math games, magic tricks, and activities, sorted by grade level. Third edition; companion to the Making Math Meaningful workbooks already on hand."
Making Math Meaningful: Middle School Source Book,Jamie York,Teaching Guide / Waldorf Curriculum,"Mathematics, Middle School, Waldorf","A source book of middle-school math content, sequence and teaching approaches for Waldorf classrooms."
Mapping Penny's World,Loreen Leedy,Children's Picture Book,"Maps, Cartography","After learning about maps at school, Lisa maps everywhere her dog Penny goes, introducing scale, symbols, keys and compass roses."
Mapping Sam,Joyce Hesselberth,Children's Picture Book,"Maps, Cartography, Cats","A cat's nighttime prowl through the neighborhood becomes an introduction to maps of every kind — floor plans, star charts, topographic and body maps."
Mars Rover: Making History,Making History,Children's Nonfiction,"Mars, Robotics, Space Exploration",The story of the Mars rovers and the engineering behind exploring another planet by remote control.
Math 6: An Oak Meadow Learning Guide,Oak Meadow,Teaching Guide / Curriculum,"Mathematics, Grade 6, Homeschool","The sixth-grade math coursebook from Oak Meadow's homeschool curriculum, presenting lessons in fractions, decimals, ratio, geometry and pre-algebra with projects and parent guidance."
Math Games with Bad Drawings,Ben Orlin,Popular Mathematics / Games,"Mathematics, Games","Seventy-five mathematical games playable with pen and paper, each explained with cartoons and strategy notes."
Math Timed Tests: 5 Minute Multiplication & Division Drills,One Page A Day,Workbook,"Multiplication, Division, Math Fluency","Daily five-minute timed drill pages building multiplication and division fact fluency, one page a day, for ages 10 and up."
Math with Bad Drawings,Ben Orlin,Popular Mathematics,"Mathematics, Humor","Essays illustrating why math matters — probability, statistics, geometry and economics — through stick figures and unexpected examples."
Maybe,Kobi Yamada (illustrated by Gabriella Barouch),Children's Picture Book,"Potential, Encouragement",A lyrical picture book about a child's unlimited potential and the possibility carried in the word maybe.
Mega Mazes: Over 50 Mind-Bending Labyrinths,Mindworks Brain Training,Activity Book,"Mazes, Puzzles","More than fifty mazes across five styles — triangular, hexagonal, circular, bridge and warp — increasing in difficulty."
Merriam-Webster's Elementary Dictionary,Merriam-Webster,Children's Reference / Dictionary,"Vocabulary, Definitions","A dictionary written for elementary students, with clear definitions, example sentences, pronunciations and illustrations. Newly revised and updated edition."
Mia's Apple Tree,Nancy Jewel Poer,Children's Picture Book,"Nature, Birth, Waldorf/Anthroposophy","A gentle story of a little girl coming from heaven to her waiting parents and growing up alongside her apple tree, with nature's elemental helpers — fairies and gnomes — at work in the background."
Miles and Jax (Foundations Level C),Kimber Iverson & Jill Pearson,Early Reader / Phonics Curriculum,"Phonics, Friendship, Meerkats",A Level C decodable chapter-style reader introducing Miles and her meerkat friend Jax and their backyard adventures.
Miles and Jax: Master Planners (Foundations Level C),Kimber Iverson & Jill Pearson,Early Reader / Phonics Curriculum,"Phonics, Problem Solving, Friendship","Miles and Jax return in a Level C decodable reader, this time scheming and planning their way through a new project."
Minecraft: Guide to Exploration,Mojang AB,Children's Reference,"Minecraft, Video Games, Strategy","An official Minecraft handbook on surviving the first nights, gathering resources, and exploring biomes safely."
Mission to Space,John Herrington,Children's Nonfiction / Biography,"Space, Astronauts, Chickasaw Nation","Chickasaw astronaut John Herrington's account of his training and Space Shuttle mission, with Chickasaw language woven through."
Mistborn: The Final Empire,Brandon Sanderson,Fantasy,"Heists, Magic Systems, Rebellion",A street thief with rare Allomantic powers joins a crew plotting to overthrow an immortal god-emperor. First book of the Mistborn trilogy and one of the cornerstones of Sanderson's Cosmere.
Moby Dick,Herman Melville,Classic Fiction,"Whaling, Obsession, Sea",Ishmael ships aboard the Pequod under a captain hunting one particular white whale. A Modern Library edition.
Mockingjay,Suzanne Collins,Young Adult Dystopian Fiction,"Hunger Games, Propaganda, War",Katniss becomes the face of the rebellion against the Capitol and learns what that costs. Final book of the original Hunger Games trilogy.
Modern HERstory: Stories of Women and Nonbinary People Rewriting History,Blair Imani (illustrated by Monique Le),Nonfiction / Biography,"Activism, Women's History, Biography","Profiles of seventy living activists, artists and organizers who are reshaping the present, with bold graphic portraits."
Monet Paints a Day,Julie Danneberg (illustrated by Caitlin Heimerl),Children's Picture Book,"Monet, Painting, Perseverance","Monet races the tide and the light to finish a seaside painting in a single day, based on a real incident."
Monsterology: The Complete Book of Beasts,Dr. Ernest Drake (Dugald Steer),Children's Novelty / Fantasy Reference,"Mythical Creatures, Cryptozoology","A faux field manual of monsters — krakens, sphinxes, yeti and more — with flaps, samples and specimens presented as a Victorian naturalist's study."
"Moon Mother, Moon Daughter",Janet Lucy & Terri Allison,Nonfiction / Parenting,"Menarche, Mother-Daughter, Rituals","Myths, stories, and rituals for marking a daughter's coming of age and the mother-daughter relationship around it."
Moon: A Peek-Through Picture Book,Britta Teckentrup,Children's Picture Book,"Moon, Animals, Night",Die-cut pages follow the phases of the moon over a year as animals gather beneath it.
Mooncakes,Loretta Seto (illustrated by Renné Benoit),Children's Picture Book,"Mid-Autumn Festival, Chinese Culture, Family",A girl and her parents eat mooncakes under the harvest moon while her parents tell her the old Chinese legends behind the Mid-Autumn Festival.
"Mostly Short, Mostly True Stories from Ireland",Jim Remington,Anthology / Folklore,"Irish Folklore, Storytelling","A storyteller's collection of Irish tales and anecdotes, short and tall in roughly equal measure."
Mounds of Earth and Shell,Bonnie Shemie,Children's Nonfiction,"Indigenous Architecture, Mound Builders","The earthworks and shell mounds built by Native peoples of North America, and what they were used for."
Music for Children,Rebecca Rumens-Syratt,Teaching Guide,"Music Education, Children","A practical guide to introducing young children to music-making, with activities and repertoire for teachers and parents."
Music from Around the World for Three-Part Recorder Ensembles,selected and arranged by Michael Preston,Songbook / Sheet Music,"Recorder, World Music, Ensemble","Folk tunes from many countries arranged in three parts for recorder ensembles, suitable for classroom or family playing."
My Dear Hemlock,Tilly Dillehay,Fiction / Religion,"Christianity, Womanhood, Epistolary","Letters in the Screwtape mode, addressed to a demon assigned to a modern Christian woman."
My Friend Is Sad,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Friendship, Empathy","Piggie disguises herself as a cowboy, a clown and a robot to cheer up a gloomy Gerald, only to learn that what he really missed was his friend."
My Love Story!! Vol. 1,Kazune Kawahara (art by Aruko),Manga,"Romantic Comedy, High School, Friendship","Takeo is huge, kind, and convinced no girl will ever like him -- until one does. First volume of the shojo comedy."
My Neighbor Totoro: A Novel,Tsugiko Kubo (illustrated by Hayao Miyazaki),Children's Chapter Book / Fantasy,"Studio Ghibli, Japan, Forest Spirits","A prose novelization of the Studio Ghibli film, expanding the story of sisters Satsuki and Mei and the forest spirit they meet after moving to the countryside. Illustrated with Miyazaki's own artwork; published in the Studio Ghibli Library by VIZ."
My New Friend Is So Fun!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Jealousy, Friendship","Gerald frets that Piggie's fun new friend Brian Bat will replace him, while Brian's owner frets right along with him."
My Very Own Fairy Stories,Johnny Gruelle,Children's Anthology,"Fairy Tales, Classic Children's Literature","The Raggedy Ann creator's own fairy tales, in which Grandpa Hooper spins stories of fairies and gnomes for the children gathered around him."
Myth Match: A Fantastical Flipbook of Extraordinary Beasts,Good Wives and Warriors,Children's Novelty / Flipbook,"Mythical Creatures, World Mythology","A split-page flipbook of mythological beasts from around the world that can be mixed and matched into thousands of hybrid creatures, with notes on each original. Miniature edition."
Myths & Legends: An Illustrated Guide to Their Origins and Meanings,Philip Wilkinson (DK),Reference,"World Mythology, Comparative Myth","A global survey of myth traditions with retellings, symbolism, character guides and notes on where each story came from and what it meant."
Myths and Legends of the World,Alli Brydon (illustrated by Julia Iredale),Children's Anthology,World Mythology,"An illustrated collection of myths and legends drawn from cultures across the globe, retold for young readers."
Myths of the Sacred Tree,Moyra Caldecott,Anthology / Folklore,"Trees, World Myth, Symbolism","Tree myths gathered from cultures around the world, with commentary on the tree as a symbol across traditions."
Narwhal and Jelly #1: Narwhal: Unicorn of the Sea,Ben Clanton,Children's Graphic Novel,"Friendship, Humor, Friendship, Imagination","Narwhal's relentless optimism and Jelly's skepticism carry a set of short comic stories, jokes and facts about sea creatures."
Narwhal and Jelly #2: Super Narwhal and Jelly Jolt,Ben Clanton,Children's Graphic Novel,"Friendship, Humor, Superheroes, Friendship","Narwhal's relentless optimism and Jelly's skepticism carry a set of short comic stories, jokes and facts about sea creatures."
Narwhal and Jelly #3: Peanut Butter and Jelly,Ben Clanton,Children's Graphic Novel,"Friendship, Humor, Food, Friendship","Narwhal's relentless optimism and Jelly's skepticism carry a set of short comic stories, jokes and facts about sea creatures."
Narwhal and Jelly #4: Narwhal's Otter Friend,Ben Clanton,Children's Graphic Novel,"Friendship, Humor, Jealousy, Friendship","Narwhal's relentless optimism and Jelly's skepticism carry a set of short comic stories, jokes and facts about sea creatures."
National Geographic Kids Readers: Dinosaurs,Kathleen Weidner Zoehfeld,Early Reader Nonfiction,"Dinosaurs, Paleontology","A pre-reader introduction to dinosaurs — big and small, plant- and meat-eaters — with large photographs and single-line text."
"National Geographic Kids Readers: Dive, Dolphin!",Shira Evans,Early Reader Nonfiction,"Dolphins, Ocean Animals",Pre-reader photographs and simple sentences following a dolphin through its day in the sea.
National Geographic Kids Readers: Elephants,National Geographic Kids,Early Reader Nonfiction,"Elephants, Animals","A photographic leveled reader on elephant herds, communication and how the calves grow up."
National Geographic Kids Readers: Great Explorers,National Geographic Kids,Early Reader Nonfiction,"Explorers, History","A leveled reader profiling famous explorers and their journeys, with photographs and short informational text."
National Geographic Kids Readers: Mars,Elizabeth Carney,Early Reader Nonfiction,"Space, Planets","A leveled reader on the red planet — its volcanoes, dust storms, moons and the rovers sent to explore it."
"National Geographic Kids Readers: Peek, Otter!",Shira Evans,Early Reader Nonfiction,"Otters, Animals","Sea otters float, dive and crack shells in this photographic pre-reader for the very newest readers."
National Geographic Kids Readers: Safari,Gail Tuchman,Early Reader Nonfiction,"African Animals, Safari",A photographic beginning reader introducing the animals a child might spot on an African safari.
National Geographic Kids Readers: Tyrannosaurus Rex,National Geographic Kids,Early Reader Nonfiction,"Dinosaurs, Paleontology","A beginning reader on T. rex: its size, teeth, hunting and the fossils that tell us about it."
National Geographic Kids Readers: Vikings,Libby Romero,Early Reader Nonfiction,"Vikings, History","A leveled reader on Viking ships, raids, settlements and daily life, illustrated with artifacts and artwork."
National Parks of the U.S.A.,Kate Siber (illustrated by Chris Turnham),Children's Nonfiction,"National Parks, Nature, US Geography",A large-format tour of twenty-one US national parks with illustrated landscapes and profiles of the animals and plants that live in each.
National Parks of the U.S.A. Activity Book,Wide Eyed Editions,Children's Activity Book,"National Parks, Nature, Puzzles","Activities, mazes and drawing prompts touring the US national parks and their wildlife."
Native American Myths and Legends,Sirius Publishing,Anthology,"Native American Folklore, Mythology","A gift-edition collection of myths, legends and origin stories from Native American nations."
Natural Beekeeping,Ross Conrad,Reference,"Beekeeping, Organic Methods, Mites",Organic approaches to hive management and mite control for small-scale beekeepers. Chelsea Green.
Natural Goat Care,Pat Coleby,Reference,"Goats, Animal Husbandry, Natural Remedies","Coleby's guide to goat health through soil, mineral balance, and nutrition rather than routine chemical treatment. Acres U.S.A."
Natural Wonders of the World,DK / Smithsonian,Reference,"Geology, Landscapes, Natural History","A photographic and cutaway survey of the world's most remarkable natural formations — canyons, caves, reefs, volcanoes and forests — explaining how each was made."
Nature Anatomy,Julia Rothman,Illustrated Nonfiction,"Nature, Natural History","Hand-drawn diagrams of the natural world — rocks, clouds, leaves, animal tracks, feathers and flowers."
Nature's Wonders,Greystone Kids,Children's Nonfiction,"Nature, Natural Phenomena",An illustrated tour of natural marvels and the science behind them.
"Nests, Eggs, Birds: An Illustrated Life Cycle",Kelsey Oseid,Illustrated Nonfiction,"Birds, Nests, Life Cycles","An illustrated tour of avian life cycles, nest architecture and egg variety across species."
Never Keep,Caroline Peckham & Susanne Valenti,Fantasy / Romance,"Zodiac, Academy, Romance","Book one of Sins of the Zodiac, a dark romantasy built around zodiac-based powers and factions."
New Moon,Stephenie Meyer,Young Adult Fantasy / Romance,"Vampires, Werewolves, Romance",Edward leaves Forks and Bella's grief pulls her toward Jacob and the Quileute wolves. Second in the Twilight saga.
No Matter What,Debi Gliori,Children's Picture Book,"Unconditional Love, Reassurance, Foxes","Small the fox asks whether he would still be loved if he turned into a bug or a crocodile, and Large answers each time that love holds no matter what. A reassuring rhyming picture book about unconditional love."
No More Monsters for Me!,Peggy Parish (illustrated by Marc Simont),Early Reader / I Can Read,"Pets, Monsters, Humor","Minneapolis Simpkin isn't allowed a pet, so she smuggles home a small monster — which promptly starts growing."
No More! Stories and Songs of Slave Resistance,Doreen Rappaport (illustrated by Shane W. Evans),Children's Nonfiction,"Slavery, Resistance, American History","True accounts, songs and poems of enslaved people who resisted — through escape, revolt, sabotage and sheer endurance."
Nobody Gonna Turn Me 'Round: Stories and Songs of the Civil Rights Movement,Doreen Rappaport (illustrated by Shane W. Evans),Children's Nonfiction,"Civil Rights Movement, American History","The civil rights years told through the words and songs of the people who marched, sat in and organized."
Nordic Tales,Chronicle Books (illustrated by Ulla Thynell),Folktale Anthology,"Nordic Folklore, Mythology","Sixteen folktales from Norway, Sweden, Denmark, Finland and Iceland — trolls, bears, giants and quick-witted heroes."
Norse Mythology,Neil Gaiman,Mythology Retelling,"Norse Mythology, Loki, Ragnarok","Gaiman retells the Norse myths in sequence, from the origins of the nine worlds through Ragnarok."
Numerica: A Waldorf Book of Counting,Gloria Kemp (illustrated by Elsa Murray-Lafrenz),Children's Picture Book,"Counting, Number Qualities","Two children pass through an ornate gate into the land of Numerica, where each number from one to twelve is met as a living quality in nature — one sun, two wings, three-petaled flowers — in the Waldorf tradition of introducing numbers through story and image."
Oak Meadow Math 6 Workbook,Oak Meadow,Workbook / Curriculum,"Mathematics, Grade 6, Homeschool","The spiral-bound student workbook accompanying Oak Meadow's Math 6, with practice problems and exercises for each lesson."
Oathbringer,Brandon Sanderson,Fantasy,"Roshar, Urithiru, War",Dalinar's past surfaces as humanity retreats to the ancient tower city. Third of The Stormlight Archive.
Ocean Anatomy,Julia Rothman,Illustrated Nonfiction,"Ocean, Marine Life","Hand-illustrated diagrams of everything oceanic — waves, tides, shells, fish, coral, ships and shorelines."
Odd and the Frost Giants,Neil Gaiman (illustrated by Chris Riddell),Children's Novella,"Norse Mythology, Adventure","A lame Viking boy named Odd befriends a bear, an eagle and a fox who turn out to be Norse gods locked out of Asgard, and helps them win it back."
Odin's Child,Siri Pettersen,Young Adult Fantasy,"Norse-Inspired, Outsider, Magic","In a world where everyone is born with a tail, Hirka has none, and finding out why puts her in danger. First of The Raven Rings, translated from Norwegian."
Odyssey,Stephen Fry,Mythology Retelling,"Greek Mythology, Homer, Retelling",Fry's retelling of Odysseus's ten-year voyage home and the reckoning waiting in Ithaca. Fourth in his series of Greek myth retellings.
Of Blood and Bone,Nora Roberts,Fantasy,"Post-Apocalyptic, Magic, Coming of Age",Fallon Swift trains for the role she was born to in a world remade by a plague that also loosed magic. Second in the Chronicles of the One trilogy.
On a Beam of Light: A Story of Albert Einstein,Jennifer Berne (illustrated by Vladimir Radunsky),Children's Picture Book / Biography,"Einstein, Physics, Curiosity","The life of Einstein told as a story of relentless wondering, from a quiet boy to the man who imagined riding a beam of light."
Once Around the Sun,Author not visible on spine,Children's Anthology / Seasonal,"Seasons, Year Cycle, Celebration",A seasonal collection shelved with the Waldorf festival books. The byline was not legible on the spine -- worth checking the title page.
Once Upon a Broken Heart,Stephanie Garber,Young Adult Fantasy / Romance,"Fate, Bargains, Fairy Tale","Evangeline makes a bargain with the Prince of Hearts to stop a wedding, and pays in ways she can't anticipate. First of the trilogy."
Once Upon a Goat,Dan Richards (illustrated by Eric Barclay),Children's Picture Book,"Family, Humor, Fairy Tales",A king and queen wish for a child and the fairy godmother sends a kid — of the goat variety — and the royal family falls in love anyway.
One Dark Window,Rachel Gillig,Fantasy / Romance,"Gothic, Magic Cards, Monsters",Elspeth harbors an ancient monster in her mind and joins a highwayman prince's hunt for the kingdom's scattered magic cards. First of The Shepherd King duology.
One Well: The Story of Water on Earth,Rochelle Strauss (illustrated by Rosemary Woods),Children's Nonfiction,"Water, Ecology, Conservation","The idea that all the world's water is one shared well, tracing its cycle, its distribution and the pressures on it."
Our Family Tree: An Evolution Story,Lisa Westberg Peters (illustrated by Lauren Stringer),Children's Nonfiction Picture Book,"Evolution, Deep Time","The story of life on Earth told as one enormous family history, from single cells to human beings."
Our Independence and the Constitution,Dorothy Canfield Fisher,Children's Nonfiction / History,"American Revolution, Constitution, Landmark Books",How the colonies came to declare independence and then to write and ratify the Constitution. A Landmark Book.
Our Little Adventure to the Farmers Market,Tabitha Paige,Children's Board Book,"First Words, Kindness, Food","Little Fox gathers fruits and vegetables at the farmers market to plan a surprise picnic for his friend Owl. Written by a speech-language pathologist, it builds early vocabulary alongside a story about sharing and gratitude."
Outlander,Diana Gabaldon,Historical Fiction / Romance,"Time Travel, Scotland, Jacobite Rising",A 1945 combat nurse touches a standing stone and wakes in 1743 Scotland. The first of Gabaldon's long-running series.
Outliers: The Story of Success,Malcolm Gladwell,Nonfiction / Sociology,"Success, Practice, Opportunity","Gladwell argues that exceptional achievement depends on timing, culture, and accumulated advantage as much as on talent. Source of the much-debated ten-thousand-hours idea."
Outside Your Window: A First Book of Nature,Nicola Davies (illustrated by Mark Hearld),Children's Poetry / Nature,"Nature, Seasons, Poetry","Poems and observations following the natural year through a child's window, with collage illustration."
Over the Hills and Far Away (illustrated by Daniela Drescher),illustrated by Daniela Drescher,Children's Poetry / Anthology,"Nursery Rhymes, Nature",A collection of verses and rhymes illustrated in Daniela Drescher's soft watercolor style.
Over the Hills and Far Away: A Treasury of Nursery Rhymes,edited by Elizabeth Hammill,Children's Poetry Anthology,"Nursery Rhymes, World Cultures","More than 150 nursery rhymes from English-speaking cultures worldwide, illustrated by over seventy artists."
Owl Diaries #10: Eva and Baby Mo,Rebecca Elliott,Children's Chapter Book,"Friendship, School, Owls","Eva Wingdale records her school and friendship troubles in her diary, in this illustrated early chapter-book series."
Owl Diaries #11: Trip to the Pumpkin Farm,Rebecca Elliott,Children's Chapter Book,"Friendship, School, Owls","Eva Wingdale records her school and friendship troubles in her diary, in this illustrated early chapter-book series."
Owl Diaries #2: Eva Sees a Ghost,Rebecca Elliott,Children's Chapter Book,"Friendship, School, Owls","Eva Wingdale records her school and friendship troubles in her diary, in this illustrated early chapter-book series."
Owl Diaries #4: Eva and the New Owl,Rebecca Elliott,Children's Chapter Book,"Friendship, School, Owls","Eva Wingdale records her school and friendship troubles in her diary, in this illustrated early chapter-book series."
Owl Diaries #7: The Wildwood Bakery,Rebecca Elliott,Children's Chapter Book,"Friendship, School, Owls","Eva Wingdale records her school and friendship troubles in her diary, in this illustrated early chapter-book series."
Papercut This Book,Boo Paterson,Craft Instruction,"Papercutting, Crafts","A book designed to be cut apart, teaching papercutting technique through projects on its own pages."
Passport's Language Guides: French for Beginners,Angela Wilkes,Language Instruction,"French, Beginning Language Learning","A cartoon-illustrated first French course covering greetings, numbers, food, family and everyday phrases, with pronunciation guidance and puzzles."
Pax,Sara Pennypacker (illustrated by Jon Klassen),Children's Chapter Book,"Foxes, War, Friendship","A boy releases his pet fox at the roadside when his father goes to war, then sets out to find him. Told in alternating chapters by boy and fox."
Pax: Journey Home,Sara Pennypacker (illustrated by Jon Klassen),Children's Chapter Book,"Foxes, War, Healing","A year later, Peter joins a crew restoring poisoned water while Pax raises kits of his own. Sequel to Pax."
Peaceful Like a Panda,Kira Willey (illustrated by Anni Betts),Children's Picture Book,"Mindfulness, Breathing, Movement","Thirty mindfulness activities for young children, each modeled on an animal or natural image and organized through the day."
Pelle's New Suit,Elsa Beskow,Children's Picture Book,"Wool, Work and Trade, Swedish Classic","Pelle shears his lamb and then trades chores with the neighbors to have the wool carded, spun, woven, and sewn into a new suit. A century-old Swedish picture book that quietly traces a whole production process."
Penny and Her Marble,Kevin Henkes,Early Reader / Greenwillow,"Honesty, Conscience","Penny finds a beautiful blue marble on a neighbor's lawn and takes it, then can't enjoy it for the weight of her own conscience."
Percy Jackson and the Olympians #1: The Lightning Thief,Rick Riordan,Children's Chapter Book / Fantasy,"Greek Mythology, Demigods, Quest","Percy discovers he is a son of Poseidon and is sent to recover Zeus's stolen master bolt. First of the series; part of a boxed set. (Two copies on hand: one in the boxed set, one separate paperback.)"
Percy Jackson and the Olympians #2: The Sea of Monsters,Rick Riordan,Children's Chapter Book / Fantasy,"Greek Mythology, Demigods, Quest",Camp Half-Blood's protective borders fail and Percy sails into the Sea of Monsters after the Golden Fleece.
Percy Jackson and the Olympians #3: The Titan's Curse,Rick Riordan,Children's Chapter Book / Fantasy,"Greek Mythology, Demigods, Quest",Artemis is taken and a small quest party heads west to find her before the winter solstice.
Percy Jackson and the Olympians #4: The Battle of the Labyrinth,Rick Riordan,Children's Chapter Book / Fantasy,"Greek Mythology, Demigods, Quest","Kronos's army plans to invade camp through Daedalus's maze, and Percy goes in after them."
Percy Jackson and the Olympians #5: The Last Olympian,Rick Riordan,Children's Chapter Book / Fantasy,"Greek Mythology, Demigods, War",The war for Olympus comes to Manhattan and the great prophecy comes due. Final book of the original series.
Pete the Cat at the Beach,James Dean,Early Reader / My First I Can Read,"Beach, Surfing, Cats","Pete heads to the beach with his brother Bob, braving waves and a surfboard in his usual laid-back style."
Pete the Cat's Giant Groovy Book,James Dean,Early Reader Collection,"Cats, Friendship, School","A bind-up of Pete the Cat I Can Read adventures, all in Pete's unflappably groovy style."
Pete the Cat's Groovy Bake Sale,James Dean,Early Reader / My First I Can Read,"Baking, Sharing, Cats","Pete and his friends hold a bake sale, and Pete keeps his cool when things don't go to plan."
Peter in Blueberry Land,Elsa Beskow,Children's Picture Book,"Berries, Fantasy, Swedish Classic",Peter goes hunting for berries for his mother's birthday and is shrunk down by the King of Blueberry Land to gather them with the blueberry boys and lingonberry girls. One of Beskow's best-known nature fantasies.
Peter Pan,J.M. Barrie (illustrated by MinaLima),Children's Illustrated Classic,"Neverland, Flying, Childhood","Barrie's story of the boy who would not grow up, in the MinaLima edition with ten interactive paper elements built into the pages."
Peter's Old House,Elsa Beskow,Children's Picture Book,"Kindness, Village Life, Swedish Classic","Old Peter travels from house to house mending things, and the neighbors he has helped come to his aid when his own cottage falls apart. A gentle Beskow story about generosity repaid."
Phonic Rhyme Time,Mary Nash-Wortham,Teaching Guide / Phonics,"Phonics, Speech and Language, Literacy","A spiral-bound collection of phonic rhymes built on a see it, say it, read and write it approach, giving precise practice in speech sounds, reading and writing — often used in speech-language and dyslexia support."
Picture Word Book: A Child's Dictionary,illustrated by Sy Barlowe,Children's Reference / Dictionary,"Vocabulary, Picture Dictionary","A vintage picture dictionary pairing 4,832 words with 1,200 illustrations, teaching vocabulary through labeled images of animals, objects, people and places."
Pigs Make Me Sneeze!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Illness, Friendship, Jumping to Conclusions","Gerald's uncontrollable sneezing convinces him he has become allergic to Piggie, until the doctor delivers happier news."
Piranesi,Susanna Clarke,Fantasy,"Labyrinths, Memory, Mystery","A man lives alone in an endless house of statues and tides, keeping careful journals, until evidence of another world intrudes. Winner of the Women's Prize for Fiction."
Pocket Peaches,Dora Wang,Children's Graphic Novel,"Friendship, Slice of Life, Comics","A cozy graphic novel following a group of small animal friends through everyday adventures, drawn in a soft pastel cartoon style."
Pocket Peaches: Game On,Dora Wang,Children's Graphic Novel,"Friendship, Gaming, Comics","The Pocket Peaches return for a story centered on video games, competition and figuring out how to play together."
Poetry for Young People: Emily Dickinson,Emily Dickinson (edited by Frances Schoonmaker Bolin),Children's Poetry,"Poetry, American Literature","A selection of Dickinson's poems annotated and illustrated for young readers, with notes on her life and imagery."
Poetry Speaks to Children,edited by Elise Paschen,Children's Poetry Anthology,"Poetry, Read-Aloud",An anthology of poems for children with an accompanying CD of many read by the poets themselves.
Pokemon Super Extra Deluxe Essential Handbook,Scholastic,Children's Reference,"Pokemon, Video Games, Species Guide","Stats, types, and descriptions for hundreds of Pokemon, updated through the newer generations."
Pokemon Visual Companion,DK,Children's Reference,"Pokemon, Video Games, Illustrated Reference","An illustrated guide to the Pokemon world covering regions, characters, and species across the games and animated series."
Pom-Pom Kitties,Klutz,Craft Kit / Instruction,"Pom-Poms, Crafts, Cats",Instructions and materials for making pom-pom cats.
Powerless,Lauren Roberts,Young Adult Fantasy / Romance,"Trials, Powers, Forbidden Romance","An Ordinary hides among the Elites and enters the Purging Trials, falling for the prince meant to eliminate her. First in the Powerless trilogy."
PreScripts: Cursive Letters and Coloring — World History,Classical Conversations MultiMedia,Workbook / Handwriting,"Cursive, Handwriting, World History","A handwriting workbook that teaches cursive letter formation alongside a colorable world-history timeline, pairing penmanship practice with historical images."
Project Hail Mary,Andy Weir,Science Fiction,"Space, Problem Solving, First Contact",A man wakes alone on a spacecraft with no memory and gradually works out that he is humanity's last chance. Weir's third novel.
Puck the Gnome,Jakob Streit,Children's Storybook / Waldorf,"Gnomes, Nature, Seasons","The adventures of a gnome at work in the earth and among growing things, one of Streit's classic nature-story collections for the early grades."
Queens of the Wild: Pagan Goddesses in Christian Europe,Ronald Hutton,Nonfiction / History,"Paganism, Folklore, Medieval Europe","Hutton examines four figures often called surviving pagan goddesses -- Mother Earth, the Fairy Queen, the Cailleach, and the Lady of the Night -- and asks what the evidence actually supports. A historian's corrective to popular assumptions."
Quest,Aaron Becker,Children's Wordless Picture Book,"Adventure, Imagination, Fantasy","The wordless sequel to Journey: two children are handed a map by a captured king and chase colored crayons across jungles, deserts and underwater ruins to free him and restore the kingdom."
Read-Aloud Rhymes for the Very Young,selected by Jack Prelutsky (illustrated by Marc Brown),Children's Poetry Anthology,"Poetry, Read-Aloud, Toddlers",Two hundred short poems chosen for reading aloud to the youngest listeners.
Ready Player One,Ernest Cline,Science Fiction,"Virtual Reality, 1980s Nostalgia, Quest","A teenager hunts for an Easter egg hidden in a vast virtual world by its late creator, against a corporation doing the same."
Rebellion 1776,Laurie Halse Anderson,Children's Chapter Book / Historical Fiction,"American Revolution, Smallpox, Boston","Thirteen-year-old Elsbeth is separated from her father in a Boston caught between occupation, evacuation, and a smallpox epidemic in the year of the Declaration."
Red Rising,Pierce Brown,Science Fiction,"Mars, Class Rebellion, Dystopia","Darrow, a Red miner on Mars, learns his caste's sacrifice is a lie and is remade to infiltrate the ruling Golds. First of the Red Rising saga."
Restore Me,Tahereh Mafi,Young Adult Dystopian Fiction,"Powers, Rebellion, Romance",Juliette holds power over Sector 45 and finds that running a regime is nothing like tearing one down. Book four of the Shatter Me series.
Rings of Fate,Melissa de la Cruz,Fantasy / Romance,"Fake Engagement, Curses, Kingdoms",A barmaid and a cursed prince fake an engagement to buy time against the magic that is killing him. First of the Curses and Crowns series.
